project,sha,author,commit_date,is_bug
'testproject','c52b1a43aa46d426ce42d135e3e960efc566f94e','Kevin Sawicki','2012-10-15','False'
'testproject','ee72fa9a64a435eb70e01296dbdd41c97b48721d','Kevin Sawicki','2012-10-15','False'
'testproject','8ea5ef9217c6bd8c1e42e10888183fc6cdc1666d','Kevin Sawicki','2012-10-15','False'
'testproject','d5166b7f1c7178e3f7bf01f1737d2aff55819367','Kevin Sawicki','2012-10-15','False'
'testproject','ac277fca40ecc832ccb13bcba538e1b31c779200','Kevin Sawicki','2012-10-15','False'
'testproject','5947421a2d9cd90df933b7655a57d879aa20ea6f','Kevin Sawicki','2012-10-15','False'
'testproject','65b728f9341e489ebf35f6b3f990936866038853','Kevin Sawicki','2012-10-15','False'
'testproject','bec6fc990497c8860790a733fc2159cdb76664b4','Kevin Sawicki','2012-10-15','False'
'testproject','29f98f004ec957e3baed6462fd5b4bfc0bae8e9f','Artur Termenji','2012-10-15','False'
'testproject','1ae76642da577e44c9c8c17fcc832ff1b8289cb2','Kevin Sawicki','2012-10-05','False'
'testproject','1dd4a867932fba57b53d66da0fbd4c8d6647cb72','Kevin Sawicki','2012-10-05','False'
'testproject','f5c828a531a47410c4fca10d8478581b5f3a9b39','Kevin Sawicki','2012-10-05','False'
'testproject','11b62288cdddf6ea55f80608ad67e685add2dc72','Kevin Sawicki','2012-10-05','False'
'testproject','0067f108de1f25c7b09626f94e10ff7511c5f02f','Kevin Sawicki','2012-10-05','True'
'testproject','47af07da7e3ba6bc9ebf529ea15598100443edad','Kevin Sawicki','2012-10-05','False'
'testproject','63e1f1ca1fba4f77c73f396a332e267d1c9e8569','Kevin Sawicki','2012-10-05','False'
'testproject','afb4e3da4d3da7dac0d225bf0425e89008ec726b','Kevin Sawicki','2012-10-05','False'
'testproject','1a2748d14c1c5765995d647781c8fd24e8339ab6','Kevin Sawicki','2012-10-05','False'
'testproject','56596e3e7499d1ee67629225130a59e7453766d6','Kevin Sawicki','2012-10-05','False'
'testproject','628040abf099067bb0cefa683e52a6c4efcdbc31','Kevin Sawicki','2012-10-05','False'
'testproject','07ea547e1a4aa7f5fc7c17ffbeef6f770f311698','Kevin Sawicki','2012-10-05','False'
'testproject','31bc7c6970af4729073edfd9e23d8013cc21d3b5','Kevin Sawicki','2012-10-05','False'
'testproject','2ac021914f78e5b1a29d895e330f9c131877cd99','Kevin Sawicki','2012-10-05','False'
'testproject','42bf0e8ba2f395ae4a9fc6182ebb26e9d8de34be','Kevin Sawicki','2012-10-05','False'
