project, sha, language, file_name, is_test,bracket_diff,isExceptionPatch, method_name,total_add,total_del,throw Adds,catch Dels,throw Dels,try Adds,try Dels,exception Dels,raise Adds,catch Adds,finally Dels,finally Adds,exception Adds,raise Dels
'testproject','9e6a9f3d7daf143d0d1341d527ca2f0609ce63d3','java','app/src/main/java/com/github/mobile/util/AvatarLoader.java','False','0','True','fetchAvatar','2','1',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','8b0278b5ac4d000944b3332246383727c877e667','java','app/src/main/java/com/github/mobile/util/AvatarLoader.java','False','0','True','fetchAvatar','4','3',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','33dd82dce2ab9afe19addc8122a31ebb43b251d2','java','app/src/main/java/com/github/mobile/util/AvatarLoader.java','False','0','True','deleteCachedUserAvatars','1','1',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','aaee662813b2c258f555e3e2b17b3b0dcba56f6b','java','app/src/main/java/com/github/mobile/util/AvatarLoader.java','False','0','True','getAvatarFilenameForUrl','1','1',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','f7989066cd9b049bdb8feea65acb9d1b5509bcc4','java','app/src/main/java/com/github/mobile/ui/search/SearchUserListFragment.java','False','0','True','loadData','1','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','f7989066cd9b049bdb8feea65acb9d1b5509bcc4','java','app/src/main/java/com/github/mobile/ui/search/SearchUserListFragment.java','False','0','True','onListItemClick','9','1',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','f7989066cd9b049bdb8feea65acb9d1b5509bcc4','java','app/src/main/java/com/github/mobile/util/AvatarLoader.java','False','0','True','bind','19','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','a28ea550a643aa0831606c3e745d89c02de40b26','java','app/src/main/java/com/github/mobile/ServicesModule.java','False','0','True','searchUserService','2','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','852e83c8403ab6e7c917b3816c78b6275ac6aae1','java','app/src/main/java/com/github/mobile/ui/search/SearchActivity.java','False','0','True','onCreate','1','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','852e83c8403ab6e7c917b3816c78b6275ac6aae1','java','app/src/main/java/com/github/mobile/ui/search/SearchActivity.java','False','0','True','search','10','1',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','852e83c8403ab6e7c917b3816c78b6275ac6aae1','java','app/src/main/java/com/github/mobile/ui/search/SearchActivity.java','False','0','True','findFragments','8','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','852e83c8403ab6e7c917b3816c78b6275ac6aae1','java','app/src/main/java/com/github/mobile/ui/search/SearchRepositoryListFragment.java','False','0','True','refresh','3','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','852e83c8403ab6e7c917b3816c78b6275ac6aae1','java','app/src/main/java/com/github/mobile/ui/search/SearchUserListFragment.java','False','0','True','refresh','4','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','852e83c8403ab6e7c917b3816c78b6275ac6aae1','java','app/src/main/java/com/github/mobile/ui/search/SearchUserListFragment.java','False','0','True','loadData','6','2',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','34c028cb02bcd5706f8303b865725e5b263d2861','java','app/src/main/java/com/github/mobile/ui/search/SearchUserListFragment.java','False','0','True','onActivityCreated','3','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','34c028cb02bcd5706f8303b865725e5b263d2861','java','app/src/main/java/com/github/mobile/ui/search/SearchUserListFragment.java','False','0','True','onAttach','4','0',0,0,0,0,0,0,0,0,0,0,0,0
'testproject','34c028cb02bcd5706f8303b865725e5b263d2861','java','app/src/main/java/com/github/mobile/ui/search/SearchUserListFragment.java','False','0','True','loadData','6','0',0,0,0,0,0,0,0,0,0,0,0,0
